step,train_loss
0,10.9462299
10,9.5315475
20,9.2046261
30,8.7611847
40,8.1998196
50,7.8076773
60,7.4261446
70,7.1022320
80,6.9178491
90,6.7322640
100,6.7860479
110,6.5858293
120,6.4476528
130,6.3726134
140,6.4711962
150,6.3379211
160,6.1813445
170,6.1410217
180,6.0038185
190,6.1457195
200,6.0426922
210,5.9335666
220,5.8152933
230,5.7722940
240,5.8914065
250,5.8304462
260,5.6894226
270,5.6389499
280,5.7542000
290,5.6154056
300,5.6578083
310,5.4897590
320,5.3310027
330,5.5643921
340,5.4453235
350,5.3115454
360,5.2246766
370,5.2083669
380,5.3030410
390,5.2010312
400,5.1171384
410,5.0171504
420,5.1390066
430,5.1073813
440,4.9391084
450,4.9679585
460,4.8420887
470,4.9417772
480,4.9359627
490,4.8661666
500,4.7929363
510,4.8769979
