step,train_loss
0,10.9803925
1,10.1359062
2,10.086113
3,10.0059938
4,9.9239082
5,9.8286562
6,9.7686663
7,9.7143774
8,9.6513834
9,9.6166935
10,9.5692005
11,9.5463963
12,9.5149651
13,9.4883289
14,9.4121323
15,9.3931656
16,9.3691206
17,9.3228788
18,9.38976
19,9.3543253
20,9.2161369
21,9.1508331
22,9.1189833
23,9.0895672
24,8.9939709
25,8.9204407
26,8.8864145
27,8.812727
28,8.7593737
29,8.6779747
30,8.7181063
31,8.6257019
32,8.5862665
33,8.5157614
34,8.3849678
35,8.3836441
36,8.3360453
37,8.2471476
38,8.1999607
39,8.1897144
40,8.1317139
41,8.0310879
42,7.9624267
43,7.9848824
44,7.8924766
45,7.8655543
46,7.7969542
47,7.8113747
48,7.7935338
49,7.695303
50,7.7035909
51,7.636909
52,7.595746
53,7.5214491
54,7.5230403
55,7.5022192
56,7.4412174
57,7.4196119
58,7.3258476
59,7.28931
60,7.2870235
61,7.2921085
62,7.1799059
63,7.1549163
64,7.1303754
65,7.1533647
66,7.0677395
67,7.0888114
68,7.063622
69,6.9593983
70,6.9341087
71,6.9565125
72,6.902771
73,6.8877759
74,6.8103991
75,6.8564506
76,6.78791
77,6.8159981
78,6.7836261
79,6.7143869
80,6.712275
81,6.7184834
82,6.6481671
83,6.5905128
84,6.6035972
85,6.5664153
86,6.5588965
87,6.5785747
88,6.5449982
89,6.5986357
90,6.5098143
91,6.4998422
92,6.5463848
93,6.6193681
94,6.6359525
95,6.6117039
96,6.5676155
97,6.5179663
98,6.5699186
99,6.5249286
100,6.5654874
101,6.4747453
102,6.4587259
103,6.3577924
104,6.4369445
105,6.4386473
106,6.3961987
107,6.3272014
108,6.3892269
109,6.3904343
110,6.3369617
111,6.3078909
112,6.2779799
113,6.3097305
114,6.3462663
115,6.3041258
116,6.2274332
117,6.1664729
118,6.1726904
119,6.2092357
120,6.1764908
121,6.145309
122,6.1334
123,6.1333828
124,6.1303434
125,6.129405
126,6.1082878
127,6.0713534
128,6.0237408
129,5.9957333
130,6.0545158
131,6.0092874
132,6.0287986
133,5.9386268
134,5.9465346
135,6.0047274
136,5.9754195
137,5.9947338
138,5.9322705
139,6.0606842
140,6.1701818
141,6.0751505
142,6.0920391
143,6.0296478
144,6.0269833
145,6.0025487
146,6.0153894
147,6.0162401
148,6.0240488
149,5.9938931
150,5.9802775
151,5.8822155
152,5.9190245
153,5.9655747
154,5.8651257
155,5.853353
156,5.8959489
157,5.9692636
158,5.970089
159,5.889616
160,5.7934747
161,5.8963318
162,5.7955875
163,5.7675338
164,5.7729034
165,5.8047152
166,5.6739831
167,5.7561746
168,5.7481575
169,5.7344646
170,5.7076364
